Matches,Runs,BF,SR,4s,6s,Opposition,Ground, Start DateAscending ,Performance,
1,60,78,76.92,2,0,v India,Cape Town,18-Jan-11,Good,
2,1,4,25,0,0,v India,Port Elizabeth,21-Jan-11,Poor,
3,8,6,133.33,1,0,v India,Centurion,23-Jan-11,Best,
4,18,14,128.57,1,0,v Netherlands,Mohali,3-Mar-11,Best,
5,17,38,44.73,2,0,v England,Chennai,6-Mar-11,Poor,
6,25,23,108.69,0,1,v India,Nagpur,12-Mar-11,Best,
7,11,19,57.89,0,0,v Ireland,Kolkata,15-Mar-11,Good,
8,52,52,100,4,1,v Bangladesh,Dhaka,19-Mar-11,Best,
9,36,43,83.72,3,1,v New Zealand,Dhaka,25-Mar-11,Good,
10,27,20,135,3,0,v Australia,Centurion,19-Oct-11,Best,
11,12,20,60,2,0,v Australia,Port Elizabeth,23-Oct-11,Good,
12,21,28,75,2,0,v Australia,Durban,28-Oct-11,Good,
13,10,13,76.92,0,0,v Sri Lanka,Paarl,11-Jan-12,Good,
14,18,16,112.5,2,0,v Sri Lanka,East London,14-Jan-12,Best,
15,72,74,97.29,7,0,v Sri Lanka,Bloemfontein,17-Jan-12,Good,
16,5,12,41.66,0,0,v Sri Lanka,Kimberley,20-Jan-12,Poor,
17,24,39,61.53,2,0,v Sri Lanka,Johannesburg,22-Jan-12,Good,
18,66,49,134.69,9,1,v New Zealand,Wellington,25-Feb-12,Best,
19,34,25,136,6,0,v New Zealand,Napier,29-Feb-12,Best,
20,19,28,67.85,1,0,v New Zealand,Auckland,3-Mar-12,Good,
21,22,19,115.78,2,0,v England,Southampton,28-Aug-12,Best,
22,1,4,25,0,0,v England,The Oval,31-Aug-12,Poor,
23,1,8,12.5,0,0,v England,Lord's,2-Sep-12,Poor,
24,3,5,60,0,0,v England,Nottingham,5-Sep-12,Good,
25,57,72,79.16,3,0,v New Zealand,Paarl,19-Jan-13,Good,
26,2,3,66.66,0,0,v New Zealand,Kimberley,22-Jan-13,Good,
27,19,23,82.6,2,0,v New Zealand,Potchefstroom,25-Jan-13,Good,
28,26,29,89.65,4,0,v Pakistan,Bloemfontein,10-Mar-13,Good,
29,17,21,80.95,3,0,v Pakistan,Centurion,15-Mar-13,Good,
30,45,19,236.84,4,3,v Pakistan,Johannesburg,17-Mar-13,Best,
31,62,40,155,2,5,v Netherlands,Amstelveen,31-May-13,Best,
32,30,23,130.43,5,0,v India,Cardiff,6-Jun-13,Best,
33,28,40,70,2,0,v Pakistan,Birmingham,10-Jun-13,Good,
34,35,32,109.37,3,1,v West Indies,Cardiff,14-Jun-13,Best,
35,26,39,66.66,3,0,v England,The Oval,19-Jun-13,Good,
36,4,12,33.33,0,0,v Sri Lanka,Colombo (RPS),20-Jul-13,Poor,
37,8,9,88.88,1,0,v Sri Lanka,Colombo (RPS),23-Jul-13,Good,
38,16,33,48.48,1,0,v Sri Lanka,Pallekele,26-Jul-13,Poor,
39,23,44,52.27,1,0,v Sri Lanka,Pallekele,28-Jul-13,Good,
40,6,13,46.15,0,0,v Sri Lanka,Colombo (RPS),31-Jul-13,Poor,
41,12,26,46.15,2,0,v Pakistan,Sharjah,30-Oct-13,Poor,
42,12,32,37.5,1,0,v Pakistan,Dubai (DSC),1-Nov-13,Poor,
43,55,60,91.66,8,0,v Pakistan,Abu Dhabi,6-Nov-13,Good,
44,10,23,43.47,1,0,v Pakistan,Abu Dhabi,8-Nov-13,Poor,
45,46,89,51.68,2,0,v Pakistan,Sharjah,11-Nov-13,Good,
46,59,77,76.62,4,0,v Zimbabwe,Bulawayo,17-Aug-14,Good,
47,55,72,76.38,3,0,v Zimbabwe,Bulawayo,19-Aug-14,Good,
48,40,33,121.21,8,0,v Zimbabwe,Bulawayo,21-Aug-14,Best,
49,106,98,108.16,11,1,v Australia,Harare,27-Aug-14,Best,
50,15,25,60,0,0,v Zimbabwe,Harare,29-Aug-14,Good,
51,126,109,115.59,8,6,v Australia,Harare,2-Sep-14,Best,
52,121,140,86.42,5,4,v Zimbabwe,Harare,4-Sep-14,Good,
53,96,99,96.96,8,1,v Australia,Harare,6-Sep-14,Good,
54,8,23,34.78,1,0,v New Zealand,Mount Maunganui,21-Oct-14,Poor,
55,67,73,91.78,3,2,v New Zealand,Mount Maunganui,24-Oct-14,Good,
56,31,43,72.09,2,1,v Australia,Perth,14-Nov-14,Good,
57,19,39,48.71,2,0,v Australia,Perth,16-Nov-14,Poor,
58,17,21,80.95,2,0,v Australia,Canberra,19-Nov-14,Good,
59,28,37,75.67,3,0,v Australia,Melbourne,21-Nov-14,Good,
60,2,3,66.66,0,0,v Australia,Sydney,23-Nov-14,Good,
61,0,7,0,0,0,v West Indies,Durban,16-Jan-15,Poor,
62,51,71,71.83,5,0,v West Indies,East London,21-Jan-15,Good,
63,4,11,36.36,1,0,v West Indies,Port Elizabeth,25-Jan-15,Poor,
64,16,27,59.25,2,0,v West Indies,Centurion,28-Jan-15,Good,
65,24,32,75,0,1,v Zimbabwe,Hamilton,15-Feb-15,Good,
66,55,71,77.46,5,0,v India,Melbourne,22-Feb-15,Good,
67,62,70,88.57,3,0,v West Indies,Sydney,27-Feb-15,Good,
68,109,109,100,10,1,v Ireland,Canberra,3-Mar-15,Best,
69,27,29,93.1,3,1,v Pakistan,Auckland,7-Mar-15,Good,
70,21,31,67.74,0,0,v Sri Lanka,Sydney,18-Mar-15,Good,
71,82,107,76.63,7,1,v New Zealand,Auckland,24-Mar-15,Good,
72,63,75,84,7,0,v Bangladesh,Dhaka,10-Jul-15,Good,
73,41,64,64.06,3,0,v Bangladesh,Dhaka,12-Jul-15,Good,
74,6,17,35.29,0,0,v Bangladesh,Chattogram,15-Jul-15,Poor,
75,62,77,80.51,5,1,v India,Kanpur,11-Oct-15,Good,
76,51,56,91.07,6,0,v India,Indore,14-Oct-15,Good,
77,60,63,95.23,6,0,v India,Rajkot,18-Oct-15,Good,
78,17,34,50,1,0,v India,Chennai,22-Oct-15,Good,
79,133,115,115.65,9,6,v India,Mumbai,25-Oct-15,Best,
80,55,44,125,7,1,v England,Bloemfontein,3-Feb-16,Best,
81,46,48,95.83,4,1,v England,Port Elizabeth,6-Feb-16,Good,
82,33,29,113.79,4,1,v England,Centurion,9-Feb-16,Best,
83,34,38,89.47,4,0,v England,Johannesburg,12-Feb-16,Good,
84,0,1,0,0,0,v England,Cape Town,14-Feb-16,Poor,
85,63,76,82.89,5,0,v Australia,Basseterre,11-Jun-16,Good,
86,73,50,146,6,2,v West Indies,Basseterre,15-Jun-16,Best,
87,3,8,37.5,0,0,v West Indies,Bridgetown,24-Jun-16,Poor,
88,21,31,67.74,1,0,v Ireland,Benoni,25-Sep-16,Good,
89,26,36,72.22,1,0,v Australia,Centurion,30-Sep-16,Good,
90,111,93,119.35,13,0,v Australia,Johannesburg,2-Oct-16,Best,
91,33,32,103.12,4,0,v Australia,Durban,5-Oct-16,Best,
92,69,87,79.31,8,0,v Australia,Port Elizabeth,9-Oct-16,Good,
93,11,17,64.7,2,0,v Australia,Cape Town,12-Oct-16,Good,
94,55,68,80.88,5,0,v Sri Lanka,Port Elizabeth,28-Jan-17,Good,
95,105,120,87.5,7,1,v Sri Lanka,Durban,1-Feb-17,Good,
96,24,27,88.88,3,1,v Sri Lanka,Johannesburg,4-Feb-17,Good,
97,185,141,131.2,16,3,v Sri Lanka,Cape Town,7-Feb-17,Best,
98,41,34,120.58,1,2,v Sri Lanka,Centurion,10-Feb-17,Best,
99,14,18,77.77,1,0,v New Zealand,Hamilton,19-Feb-17,Good,
100,11,17,64.7,2,0,v New Zealand,Christchurch,22-Feb-17,Good,
101,36,46,78.26,4,0,v New Zealand,Wellington,25-Feb-17,Good,
102,67,97,69.07,4,0,v New Zealand,Hamilton,1-Mar-17,Good,
103,51,90,56.66,6,0,v New Zealand,Auckland,4-Mar-17,Good,
104,67,61,109.83,8,0,v England,Leeds,24-May-17,Best,
105,16,20,80,2,0,v England,Southampton,27-May-17,Good,
106,5,7,71.42,1,0,v England,Lord's,29-May-17,Good,
107,75,70,107.14,6,0,v Sri Lanka,The Oval,3-Jun-17,Best,
108,26,44,59.09,1,0,v Pakistan,Birmingham,7-Jun-17,Good,
109,36,50,72,1,0,v India,The Oval,11-Jun-17,Good,
110,0,3,0,0,0,v Bangladesh,Paarl,18-Oct-17,Poor,
111,91,67,135.82,10,1,v Bangladesh,East London,22-Oct-17,Best,
112,120,112,107.14,11,2,v India,Durban,1-Feb-18,Best,
113,47,56,83.92,10,0,v Sri Lanka,Dambulla,29-Jul-18,Good,
114,49,41,119.51,3,2,v Sri Lanka,Dambulla,1-Aug-18,Best,
115,10,14,71.42,0,0,v Sri Lanka,Pallekele,5-Aug-18,Good,
116,26,25,104,2,0,v Zimbabwe,Paarl,6-Oct-18,Best,
117,10,24,41.66,0,0,v Australia,Perth,4-Nov-18,Poor,
118,47,65,72.3,3,0,v Australia,Adelaide,9-Nov-18,Good,
119,125,114,109.64,15,2,v Australia,Hobart,11-Nov-18,Best,
120,8,8,100,2,0,v Pakistan,Durban,22-Jan-19,Best,
121,40,42,95.23,3,1,v Pakistan,Centurion,25-Jan-19,Good,
122,57,76,75,5,1,v Pakistan,Johannesburg,27-Jan-19,Good,
123,50,72,69.44,3,0,v Pakistan,Cape Town,30-Jan-19,Good,
124,112,114,98.24,15,1,v Sri Lanka,Johannesburg,3-Mar-19,Good,
125,57,66,86.36,7,0,v Sri Lanka,Centurion,6-Mar-19,Good,
126,36,27,133.33,7,0,v Sri Lanka,Durban,10-Mar-19,Best,
127,43,38,113.15,5,1,v Sri Lanka,Port Elizabeth,13-Mar-19,Best,
128,24,42,57.14,1,0,v Sri Lanka,Cape Town,16-Mar-19,Good,
129,5,7,71.42,1,0,v England,The Oval,30-May-19,Good,
130,62,53,116.98,5,1,v Bangladesh,The Oval,2-Jun-19,Best,
131,38,54,70.37,4,0,v India,Southampton,5-Jun-19,Good,
132,0,7,0,0,0,v West Indies,Southampton,10-Jun-19,Poor,
133,23,35,65.71,4,0,v New Zealand,Birmingham,19-Jun-19,Good,
134,63,79,79.74,5,0,v Pakistan,Lord's,23-Jun-19,Good,
135,96,103,93.2,10,1,v Sri Lanka,Chester-le-Street,28-Jun-19,Good,
136,100,94,106.38,7,2,v Australia,Manchester,6-Jul-19,Best,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
